console-1  | 192.168.4.29 - - [02/Mar/2026:16:43:51 +0000] "POST /api/event HTTP/1.1" 200 33 "-" "HomeAssistant/2026.2.3 aiohttp/3.13.3 Python/3.13" "-"
console-1  | 192.168.4.29 - - [02/Mar/2026:16:44:00 +0000] "POST /api/event HTTP/1.1" 200 33 "-" "HomeAssistant/2026.2.3 aiohttp/3.13.3 Python/3.13" "-"
console-1  | 192.168.4.29 - - [02/Mar/2026:16:45:10 +0000] "POST /api/event HTTP/1.1" 200 33 "-" "HomeAssistant/2026.2.3 aiohttp/3.13.3 Python/3.13" "-"
console-1  | 192.168.4.29 - - [02/Mar/2026:16:45:11 +0000] "POST /api/event HTTP/1.1" 200 33 "-" "HomeAssistant/2026.2.3 aiohttp/3.13.3 Python/3.13" "-"
console-1  | 192.168.4.29 - - [02/Mar/2026:16:45:16 +0000] "POST /api/event HTTP/1.1" 200 33 "-" "HomeAssistant/2026.2.3 aiohttp/3.13.3 Python/3.13" "-"
console-1  | 192.168.4.29 - - [02/Mar/2026:16:45:18 +0000] "POST /api/event HTTP/1.1" 200 33 "-" "HomeAssistant/2026.2.3 aiohttp/3.13.3 Python/3.13" "-"
console-1  | 192.168.4.29 - - [02/Mar/2026:16:45:20 +0000] "POST /api/event HTTP/1.1" 200 33 "-" "HomeAssistant/2026.2.3 aiohttp/3.13.3 Python/3.13" "-"
console-1  | 192.168.4.29 - - [02/Mar/2026:16:45:22 +0000] "POST /api/event HTTP/1.1" 200 33 "-" "HomeAssistant/2026.2.3 aiohttp/3.13.3 Python/3.13" "-"
console-1  | 192.168.4.29 - - [02/Mar/2026:16:45:26 +0000] "POST /api/event HTTP/1.1" 200 33 "-" "HomeAssistant/2026.2.3 aiohttp/3.13.3 Python/3.13" "-"
console-1  | 192.168.4.29 - - [02/Mar/2026:16:56:56 +0000] "POST /api/event HTTP/1.1" 200 33 "-" "HomeAssistant/2026.2.3 aiohttp/3.13.3 Python/3.13" "-"
console-1  | 192.168.4.29 - - [02/Mar/2026:16:56:57 +0000] "POST /api/event HTTP/1.1" 200 33 "-" "HomeAssistant/2026.2.3 aiohttp/3.13.3 Python/3.13" "-"
console-1  | 192.168.4.29 - - [02/Mar/2026:16:57:00 +0000] "POST /api/event HTTP/1.1" 200 33 "-" "HomeAssistant/2026.2.3 aiohttp/3.13.3 Python/3.13" "-"
console-1  | 192.168.4.29 - - [02/Mar/2026:16:58:52 +0000] "POST /api/event HTTP/1.1" 200 33 "-" "HomeAssistant/2026.2.3 aiohttp/3.13.3 Python/3.13" "-"
console-1  | 192.168.4.29 - - [02/Mar/2026:16:58:56 +0000] "POST /api/event HTTP/1.1" 200 33 "-" "HomeAssistant/2026.2.3 aiohttp/3.13.3 Python/3.13" "-"
console-1  | 192.168.4.29 - - [02/Mar/2026:16:59:03 +0000] "POST /api/event HTTP/1.1" 200 33 "-" "HomeAssistant/2026.2.3 aiohttp/3.13.3 Python/3.13" "-"
console-1  | 192.168.4.29 - - [02/Mar/2026:17:13:42 +0000] "POST /api/event HTTP/1.1" 200 33 "-" "HomeAssistant/2026.2.3 aiohttp/3.13.3 Python/3.13" "-"
console-1  | 192.168.4.29 - - [02/Mar/2026:17:14:06 +0000] "POST /api/event HTTP/1.1" 200 33 "-" "HomeAssistant/2026.2.3 aiohttp/3.13.3 Python/3.13" "-"
console-1  | 192.168.4.29 - - [02/Mar/2026:17:14:14 +0000] "POST /api/event HTTP/1.1" 200 33 "-" "HomeAssistant/2026.2.3 aiohttp/3.13.3 Python/3.13" "-"
console-1  | 192.168.4.29 - - [02/Mar/2026:17:14:15 +0000] "POST /api/event HTTP/1.1" 200 33 "-" "HomeAssistant/2026.2.3 aiohttp/3.13.3 Python/3.13" "-"
console-1  | 192.168.4.29 - - [02/Mar/2026:17:14:16 +0000] "POST /api/event HTTP/1.1" 200 33 "-" "HomeAssistant/2026.2.3 aiohttp/3.13.3 Python/3.13" "-"
console-1  | 192.168.4.29 - - [02/Mar/2026:17:14:33 +0000] "POST /api/event HTTP/1.1" 200 33 "-" "HomeAssistant/2026.2.3 aiohttp/3.13.3 Python/3.13" "-"
console-1  | 192.168.4.29 - - [02/Mar/2026:17:14:36 +0000] "POST /api/event HTTP/1.1" 200 33 "-" "HomeAssistant/2026.2.3 aiohttp/3.13.3 Python/3.13" "-"
console-1  | 192.168.4.29 - - [02/Mar/2026:17:14:42 +0000] "POST /api/event HTTP/1.1" 200 33 "-" "HomeAssistant/2026.2.3 aiohttp/3.13.3 Python/3.13" "-"
console-1  | 192.168.4.29 - - [02/Mar/2026:17:14:51 +0000] "POST /api/event HTTP/1.1" 200 33 "-" "HomeAssistant/2026.2.3 aiohttp/3.13.3 Python/3.13" "-"
console-1  | 192.168.4.29 - - [02/Mar/2026:17:15:04 +0000] "POST /api/event HTTP/1.1" 200 33 "-" "HomeAssistant/2026.2.3 aiohttp/3.13.3 Python/3.13" "-"
console-1  | 192.168.4.29 - - [02/Mar/2026:17:56:17 +0000] "POST /api/event HTTP/1.1" 200 33 "-" "HomeAssistant/2026.2.3 aiohttp/3.13.3 Python/3.13" "-"
console-1  | 192.168.4.29 - - [02/Mar/2026:17:56:35 +0000] "POST /api/event HTTP/1.1" 200 33 "-" "HomeAssistant/2026.2.3 aiohttp/3.13.3 Python/3.13" "-"
console-1  | 192.168.4.29 - - [02/Mar/2026:17:56:37 +0000] "POST /api/event HTTP/1.1" 200 33 "-" "HomeAssistant/2026.2.3 aiohttp/3.13.3 Python/3.13" "-"
console-1  | 192.168.4.29 - - [02/Mar/2026:17:56:40 +0000] "POST /api/event HTTP/1.1" 200 33 "-" "HomeAssistant/2026.2.3 aiohttp/3.13.3 Python/3.13" "-"
console-1  | 192.168.4.29 - - [02/Mar/2026:17:57:06 +0000] "POST /api/event HTTP/1.1" 200 33 "-" "HomeAssistant/2026.2.3 aiohttp/3.13.3 Python/3.13" "-"
